t,ax,ay,az,gx,gy,gz
1816,-0.07,-0.31,9.81,-0.05,-0.00,-0.00
1831,-0.05,-0.28,9.80,-0.05,-0.00,-0.00
1848,-0.06,-0.25,9.78,-0.05,-0.00,0.00
1863,-0.06,-0.25,9.81,-0.05,-0.00,0.00
1879,-0.04,-0.24,9.78,-0.05,-0.00,-0.00
1894,-0.04,-0.25,9.78,-0.05,0.00,0.00
1909,-0.05,-0.27,9.81,-0.05,-0.00,0.00
1925,-0.05,-0.29,9.80,-0.05,-0.00,0.00
1940,-0.03,-0.31,9.83,-0.05,-0.00,-0.00
1955,-0.04,-0.29,9.81,-0.05,-0.00,-0.00
1972,-0.03,-0.30,9.79,-0.05,-0.00,-0.00
1987,-0.05,-0.29,9.79,-0.05,-0.00,-0.00
2002,-0.05,-0.26,9.79,-0.05,-0.00,-0.00
2018,-0.07,-0.25,9.81,-0.05,-0.00,0.00
2033,-0.06,-0.25,9.78,-0.05,-0.00,-0.00
2049,-0.07,-0.24,9.77,-0.05,-0.00,0.00
2064,-0.09,-0.26,9.78,-0.05,-0.00,0.00
2079,-0.10,-0.30,9.78,-0.05,-0.00,0.00
2095,-0.07,-0.30,9.82,-0.05,-0.00,0.00
2110,-0.08,-0.32,9.78,-0.05,-0.00,0.00
2126,-0.08,-0.31,9.79,-0.05,-0.00,0.00
2142,-0.05,-0.31,9.77,-0.05,-0.00,-0.00
2157,-0.05,-0.28,9.80,-0.05,-0.00,0.00
2172,-0.07,-0.27,9.79,-0.05,-0.00,-0.00
2188,-0.05,-0.25,9.79,-0.05,-0.00,0.00
2203,-0.07,-0.26,9.79,-0.05,-0.00,-0.00
2219,-0.05,-0.27,9.78,-0.05,-0.00,-0.00
2234,-0.05,-0.28,9.81,-0.05,-0.00,0.00
2250,-0.07,-0.25,9.80,-0.05,-0.00,0.00
2266,-0.07,-0.29,9.79,-0.05,-0.00,0.00
2281,-0.04,-0.31,9.80,-0.05,-0.00,-0.00
2296,-0.04,-0.30,9.78,-0.05,-0.00,-0.00
2312,-0.05,-0.27,9.79,-0.05,-0.00,-0.00
2327,-0.06,-0.28,9.79,-0.05,-0.00,0.00
2342,-0.04,-0.28,9.81,-0.05,-0.00,0.00
2358,-0.04,-0.26,9.81,-0.05,-0.00,-0.00
2373,-0.06,-0.27,9.81,-0.05,-0.00,0.00
2388,-0.06,-0.27,9.80,-0.05,-0.00,-0.00
2405,-0.02,-0.25,9.69,-0.05,0.00,0.00
2420,-0.09,-0.28,9.89,-0.06,0.01,-0.00
2436,-0.05,-0.28,9.72,-0.04,-0.00,0.00
2451,-0.06,-0.29,9.86,-0.04,-0.00,-0.00
2466,-0.06,-0.32,9.80,-0.05,0.00,-0.00
2482,-0.05,-0.32,9.80,-0.04,-0.00,0.00
2497,-0.04,-0.27,9.84,-0.05,0.00,-0.00
2512,-0.03,-0.27,9.82,-0.05,-0.00,0.00
2528,-0.06,-0.27,9.82,-0.05,-0.00,0.00
2544,-0.05,-0.30,9.78,-0.05,0.00,0.00
2560,-0.07,-0.28,9.80,-0.04,-0.00,0.00
2575,-0.08,-0.27,9.84,-0.04,-0.01,0.00
2590,-0.06,-0.28,9.74,-0.04,-0.00,0.00
2606,-0.08,-0.30,9.77,-0.05,0.00,-0.00
2621,-0.06,-0.30,9.78,-0.05,-0.00,0.00
2636,-0.07,-0.29,9.81,-0.05,-0.00,-0.00
2652,-0.04,-0.30,9.80,-0.05,0.00,-0.00
2667,-0.07,-0.28,9.81,-0.05,-0.00,0.00
2683,-0.06,-0.27,9.80,-0.05,-0.00,0.00
2699,-0.05,-0.27,9.80,-0.05,-0.00,0.00
2714,-0.04,-0.27,9.81,-0.05,-0.00,0.00
2729,-0.04,-0.25,9.79,-0.05,0.00,-0.00
2745,-0.05,-0.28,9.79,-0.05,-0.00,-0.00
2760,-0.06,-0.27,9.80,-0.05,-0.00,0.00
2776,-0.06,-0.28,9.77,-0.05,-0.00,0.00
2791,-0.07,-0.29,9.81,-0.05,-0.00,0.00
2806,-0.03,-0.29,9.80,-0.05,0.00,0.00
