Tempo,AX1,AY1,AZ1,Ângulo,AX2,AY2,AZ2,GX2,GY2,GZ2,Z da 1º Passagem,Calibragem em Graus
13292,12.10,10.45,9.34,111.09,0.30,0.30,1.71,-11.73,-11.89,9.13,0.953,86
13510,-15.04,-2.53,8.57,-138.16,1.09,2.00,-2.00,-12.09,-66.98,-4.11,0.874,79
13729,-15.31,-7.89,12.21,-140.63,1.63,-2.00,-1.56,-11.73,-9.05,23.23,1.246,112
13944,3.83,-4.48,15.35,35.16,0.64,1.08,0.37,-11.85,-47.86,48.29,1.566,141
14159,11.48,14.16,1.91,105.47,-2.00,0.13,2.00,-12.09,14.40,-8.79,0.195,18
14441,-4.29,-1.07,6.97,-39.38,0.86,2,-2,-11.97,-46.44,8.65,0.711,64
14658,17.19,15.54,5.7,157.85,2,2,-2,-11.85,-66.54,35.63,0.582,52
14871,2.49,6.89,5.28,22.85,2,1.74,-0.01,-11.85,-34.56,43.12,0.539,48
15083,6.81,0.65,16.31,62.58,0.32,-1.49,-0.13,-11.97,2.48,6.84,1.664,150
15295,9.23,3.87,2.83,84.73,0.2,1.74,2,-11.85,-30.69,15.79,0.289,26
15512,-6.62,-13.55,14.13,-60.82,1.49,0.75,-1.61,-11.85,24.98,10.68,1.442,130
15731,-12.59,-13.13,9.99,-115.66,1.72,-0.33,0.62,-11.73,42.58,-6.63,1.019,92
15948,-12.4,-0.77,19.56,-113.91,0.67,-1.83,0.1,-11.85,30.93,2.41,1.996,180
16161,1.26,1,10.14,11.6,1.27,0.72,-0.87,-11.73,36.79,10.71,1.035,93
16371,1.68,3.22,10.87,15.47,0.42,0.86,0.16,-11.6,8.2,2.91,1.109,100
16583,3.79,-6.78,8.31,34.8,0.22,-0.69,0.59,-11.85,5.68,-1.13,0.848,76
16801,-6.28,-5.36,1.99,-57.66,-0.73,-1.32,0.04,-11.85,18.33,-18.23,0.203,18
17015,-0.8,-0.08,7.62,-7.38,-0.93,-0.74,1.82,-11.48,13.21,8.23,0.778,70
17228,2.34,3.6,14.32,21.45,-0.3,1.03,0.5,-11.97,12.47,16.08,1.461,132
17444,-2.07,-1.99,5.44,-18.98,-0.15,-0.32,0.79,-11.85,16.49,-5.49,0.555,50
17658,-1.23,3.33,12.1,-11.25,0.08,0.52,-0.29,-11.48,5.82,1.89,1.235,111
17872,-4.33,6.09,14.47,-39.73,0.21,1.14,0.5,-11.85,-9.73,-0.37,1.477,133
18086,-1.49,3.29,5.78,-13.71,-0.15,0.42,0.97,-11.97,-13.11,1.34,0.590,53
18300,-4.25,0.84,12.67,-39.02,0.29,0.51,-0.02,-11.6,4.47,-4.68,1.293,116
18511,-0.73,1.53,6.89,-6.68,0.1,0.33,0.04,-11.85,-2.66,0.66,0.703,63
18727,-2.22,3.83,11.14,-20.39,-0.12,0.44,1.21,-11.73,14.9,-4.57,1.137,102
18941,-2.3,0.92,8.65,-21.09,-0.28,0.21,1.72,-11.6,-5.04,-0.46,0.883,79
19154,-3.29,4.02,11.03,-30.23,0.03,-0.67,0.79,-11.85,7.25,3.32,1.126,101
19369,-2.14,4.9,13.59,-19.69,-0.19,0.08,1.03,-11.85,-1.2,-1.37,1.387,125
19580,-0.46,1.88,9.84,-4.22,0.06,0.07,1.23,-11.73,5.31,-1.05,1.004,90
19792,1.49,0.92,8.88,13.71,-0.11,0.83,1.36,-11.73,4.59,-5.64,0.906,82
20003,-0.88,3.02,11.94,-8.09,0.17,0.06,1.15,-11.85,1.82,0.82,1.218,110
20215,-0.57,5.24,10.76,-5.27,0.35,0.75,-0.09,-11.73,1.3,1.21,1.098,99
20427,-1.61,2.3,9.91,-14.77,0.01,-0.11,0.43,-11.6,1.47,2.52,1.011,91
20640,-2.95,-4.13,9.72,-27.07,0.31,0.05,-0.18,-11.73,7.24,2.01,0.992,89
20856,-2.11,0,10.3,-19.34,-0.47,-0.04,1.4,-11.85,3.87,-2.22,1.051,95
21071,-1.61,-3.56,6.85,-14.77,0.05,-0.39,0.46,-11.73,10.6,-0.01,0.699,63
21285,-2.41,1.68,10.83,-22.15,-0.01,0.27,0.38,-11.73,2.41,-2.68,1.105,99
21501,-2.56,6.28,11.37,-23.55,-0.36,-0.68,1.88,-11.48,12.9,-1.56,1.160,104
21716,-2.11,1.53,12.17,-19.34,-0.11,-0.37,0.64,-11.73,5.95,2.7,1.242,112
21929,-2.22,-2.53,6.51,-20.39,0.2,0.47,-0.1,-11.73,0.55,3.07,0.664,60
22145,-1.76,-2.64,7.96,-16.17,0.02,-0.36,0.7,-11.6,10.89,-3.28,0.812,73
22359,-2.6,-0.92,10.83,-23.91,0.07,0.31,0.56,-11.6,2.11,-4.83,1.105,99
22572,-1.53,-3.45,7.43,-14.06,0.09,0.44,0.45,-11.6,-9.05,4.2,0.758,68
22786,-1.84,-2.56,7.04,-16.87,0.17,0.3,0.55,-11.73,3.22,-5.31,0.718,65
22998,-0.46,1.34,9.91,-4.22,0.32,0.37,-0.41,-11.6,-8.92,6.24,1.011,91
23211,-2.72,0.96,10.83,-24.96,-0.15,0.15,1.57,-11.6,9.43,0.37,1.105,99
23425,-0.84,-3.79,8.8,-7.73,-0.62,-0.3,2,-11.48,8.3,-6.56,0.898,81
23638,-2.72,-2.99,6.62,-24.96,-0.26,0.3,0.54,-11.6,2.34,2.51,0.676,61
23855,-2.26,-3.48,9.19,-20.74,-0.31,-0.49,1.25,-11.36,12.84,-4.93,0.938,84
24068,-2.53,-1.19,8.54,-23.2,0.34,0.36,0.17,-11.6,6.6,-2.76,0.871,78
24282,-3.41,-1.49,8.35,-31.29,-0.64,0.49,2,-11.6,2.1,-3.05,0.852,77
24496,-1.3,4.21,10.64,-11.95,-0.27,0.44,0.75,-11.6,-6.19,0.5,1.086,98
24788,-2.3,3.52,10.87,-21.09,0.02,0.01,1.03,-11.6,-1.06,-0.92,1.109,100
25004,-3.75,-2.95,10.22,-34.45,-0.53,0.01,1.52,-11.6,8.12,-3.37,1.043,94
25220,-3.79,-4.52,9.84,-34.8,-0.04,-0.24,0.61,-11.6,12.52,-0.92,1.004,90
25437,-2.72,-1.84,8.69,-24.96,-0.52,-0.49,1.53,-11.48,11.85,-4.45,0.887,80
25650,-2.49,1.34,10.87,-22.85,0.43,0.39,0.18,-11.24,5.54,-3.08,1.109,100
25864,-1.3,0.38,9.91,-11.95,-0.19,0.67,1.04,-11.6,-1.45,-1.21,1.011,91
26077,-3.06,1.42,10.76,-28.12,0.13,0.68,0.19,-11.36,-4.82,1.8,1.098,99
26292,-3.29,-0.65,9.8,-30.23,-0.22,0.64,0.99,-11.73,0.04,-1.9,1.000,90
26506,-1.88,4.29,9.65,-17.23,-0.38,0.56,0.94,-11.36,-6.43,-0.31,0.985,89
26720,-1.23,5.9,10.53,-11.25,0.36,0.62,0.03,-11.85,-0.04,-1.25,1.074,97
26934,-2.18,2.79,10.49,-20.04,-0.55,0.57,0.99,-11.48,2.25,-5.3,1.070,96
27149,-2.37,3.1,10.37,-21.8,-0.6,-0.36,1.31,-11.48,6.67,-6.55,1.058,95
27365,-2.3,1.68,10.95,-21.09,-0.42,-0.2,0.96,-11.48,11.43,0.21,1.117,101
27578,-2.87,-2.34,7.77,-26.37,-0.27,0.19,1.03,-11.48,4.34,1.77,0.793,71
27793,-3.52,-2.64,11.25,-32.34,-0.68,0.04,1.6,-11.48,0.97,-1.17,1.148,103
28071,-2.41,1.88,10.83,-22.15,0.14,0.46,0.96,-11.48,2.91,-3.37,1.105,99
28286,-2.18,1.84,11.68,-20.04,-0.11,0.6,1.12,-11.6,2.01,-0.21,1.192,107
28502,-1.8,4.59,10.99,-16.52,-0.25,0.39,1.03,-11.6,-6.21,-0.81,1.121,101
28717,-0.8,5.78,10.99,-7.38,-0.15,-0.46,1.73,-11.6,-2.37,-0.98,1.121,101
28933,-6.55,-3.48,7.85,-60.12,-0.84,-0.48,1.07,-11.6,13.1,-1.18,0.801,72
29671,-3.10,-12.33,14.59,-28.48,1.63,2.00,-2.00,-11.36,-34.48,11.83,1.489,134
29888,-7.46,-6.16,15.43,-68.55,1.84,2.00,-2.00,-11.24,-39.35,-1.08,1.574,142
30104,-1.84,-1.76,3.18,-16.87,-1.03,-2.00,1.47,-11.60,46.59,-1.78,0.324,29
30319,-2.91,-3.60,9.65,-26.72,1.03,0.55,0.97,-11.60,-4.86,-6.23,0.985,89
30535,-4.79,-9.69,19.56,-43.95,0.08,-0.43,2.00,-11.36,-20.15,3.40,1.996,180
30750,8.35,3.25,13.90,76.64,-0.98,-1.72,-1.37,-11.73,33.86,22.61,1.418,128
30965,-3.90,-5.21,10.34,-35.86,1.01,0.16,-0.45,-11.60,43.39,4.05,1.055,95
31182,8.80,-11.03,5.24,80.86,-0.84,1.73,-0.35,-11.60,55.88,-17.63,0.535,48
31396,8.31,3.79,14.13,76.29,-2.00,-0.60,2.00,-11.48,23.98,-5.44,1.442,130
31608,6.28,-7.62,6.55,57.66,-0.24,0.61,1.76,-11.48,7.38,-9.46,0.668,60
31825,-8.80,1.00,12.90,-80.86,-1.23,-2.00,2.00,-11.24,52.24,-13.05,1.316,118
32039,-6.39,-6.58,12.17,-58.71,0.14,2.00,-2.00,-11.11,6.72,8.02,1.242,112
32253,1.07,6.16,13.51,9.84,-0.77,-0.72,-0.57,-11.36,4.41,-5.19,1.379,124
32471,-9.34,-5.67,6.05,-85.78,-0.69,1.63,-0.68,-11.48,-21.92,-30.33,0.617,56
32682,1.11,8.57,6.70,10.20,0.13,0.61,2.00,-11.11,4.56,-31.29,0.684,62
32896,-3.56,-3.02,11.52,-32.70,1.65,0.45,0.20,-11.36,-5.10,0.59,1.176,106
33111,-4.71,1.03,11.06,-43.24,-0.99,0.07,1.97,-11.36,-3.40,4.74,1.129,102
33326,-2.99,4.94,8.73,-27.42,0.05,1.19,-0.53,-11.11,-38.40,18.11,0.891,80
33539,-5.44,0.00,4.52,-49.92,0.90,0.03,1.13,-11.36,23.58,-6.27,0.461,42
33753,-3.94,-0.46,12.40,-36.21,0.28,-1.02,0.15,-11.36,2.59,5.61,1.265,114
33968,-8.46,9.19,9.61,-77.70,0.24,0.94,-0.74,-11.48,-20.47,7.02,0.981,88
34182,1.72,7.35,13.40,15.82,1.00,1.57,2.00,-11.48,21.32,-11.37,1.367,123
34396,3.71,-5.17,3.83,34.10,0.36,1.29,-2.00,-11.24,-13.31,-4.94,0.391,35
34608,1.45,4.44,13.13,13.36,0.14,-0.55,0.86,-11.24,16.18,5.12,1.340,121
34822,-4.02,-3.25,7.24,-36.91,-0.28,0.43,0.51,-11.36,7.31,-8.02,0.739,66
35036,-3.10,3.10,10.26,-28.48,-0.14,0.67,1.87,-11.36,-0.70,2.09,1.047,94
35252,-1.61,2.14,7.39,-14.77,0.72,0.26,-0.21,-11.24,-17.30,-5.97,0.754,68
35466,-1.11,-0.69,9.42,-10.20,-0.13,0.27,0.65,-11.48,10.57,0.53,0.961,87
35677,-0.88,3.22,9.69,-8.09,0.10,0.36,0.72,-11.24,0.65,-2.56,0.989,89
35890,-1.99,4.86,13.05,-18.28,0.00,0.42,0.82,-11.36,9.01,-0.72,1.332,120
36101,0.84,3.18,10.07,7.73,-0.26,0.25,0.93,-11.36,4.79,-2.44,1.028,92
36313,0.11,1.45,12.90,1.05,-0.24,0.06,1.15,-11.24,-4.24,11.14,1.316,118
36523,0.08,3.52,8.00,0.70,-0.07,0.33,1.55,-11.24,18.40,0.27,0.816,73
36737,-0.19,-0.19,9.26,-1.76,0.21,-0.15,0.43,-11.24,13.62,-4.36,0.945,85
36952,-1.68,2.87,12.44,-15.47,-0.15,0.55,1.39,-11.24,-6.24,-2.50,1.269,114
37163,-0.38,3.94,11.83,-3.52,0.24,0.25,0.27,-11.24,1.50,2.08,1.207,109
37377,-1.84,4.98,8.92,-16.87,-0.07,0.75,1.04,-11.36,8.10,-3.18,0.910,82
37590,-2.83,3.14,10.45,-26.02,0.30,0.24,-0.05,-11.11,5.59,2.93,1.066,96
37804,-2.64,0.84,11.83,-24.26,-0.21,-0.05,0.49,-11.11,2.32,4.04,1.207,109
38019,-2.37,-0.96,10.53,-21.80,-0.41,-0.15,0.92,-11.24,3.05,1.12,1.074,97
38236,-1.91,1.30,10.03,-17.58,-0.34,-0.17,1.10,-11.36,4.67,-1.11,1.023,92
38451,-2.91,0.92,10.83,-26.72,-0.09,-0.08,0.92,-11.36,8.20,-3.32,1.105,99
38666,-2.91,-2.18,8.27,-26.72,-0.39,-0.12,1.32,-11.24,4.21,-2.29,0.844,76
38880,-3.87,-1.42,9.69,-35.51,-0.34,0.00,0.93,-11.36,7.44,-2.49,0.989,89
39094,-2.11,1.72,11.64,-19.34,-0.25,0.27,0.76,-11.24,6.49,-2.79,1.188,107
39308,-3.25,-0.04,9.84,-29.88,-0.23,0.21,1.04,-11.48,4.87,2.07,1.004,90
39521,-3.68,2.49,8.80,-33.75,-0.21,0.08,1.12,-11.24,2.96,-0.03,0.898,81
39736,-3.71,-1.38,10.03,-34.10,-0.10,0.19,0.76,-11.24,3.76,-0.64,1.023,92
39952,-3.25,-2.26,10.64,-29.88,-0.34,-0.21,1.26,-11.11,8.86,-2.07,1.086,98
40167,-1.38,0.57,10.91,-12.66,0.25,0.39,0.59,-11.24,10.65,-3.43,1.113,100
40379,-4.10,0.11,9.65,-37.62,0.20,0.60,0.32,-11.48,-2.51,0.04,0.985,89
40593,-4.10,-0.04,6.81,-37.62,-0.05,0.22,0.94,-11.24,5.53,-3.07,0.695,63
40807,-3.48,-0.08,7.89,-31.99,-0.16,-0.01,0.16,-11.24,2.88,0.69,0.805,72
41020,-2.37,3.52,10.91,-21.80,0.14,0.24,0.12,-11.11,2.63,-2.59,1.113,100
41233,-2.56,0.77,9.26,-23.55,0.01,0.14,1.11,-10.99,4.06,-2.36,0.945,85
41445,-4.10,1.00,8.69,-37.62,0.02,0.47,0.74,-11.24,0.70,-1.02,0.887,80
41734,-4.98,1.91,9.38,-45.70,-0.11,0.54,0.79,-11.24,-1.47,-1.66,0.957,86
41945,-1.42,1.15,11.98,-13.01,0.14,0.13,0.48,-11.36,0.01,1.76,1.222,110
42161,-3.64,-0.80,6.70,-33.40,-0.19,-0.30,0.70,-11.11,8.56,-1.09,0.684,62
42378,-3.10,0.69,13.17,-28.48,-0.48,0.94,1.50,-11.36,6.81,-6.56,1.344,121
42592,-3.37,0.65,11.14,-30.94,-0.12,0.05,1.07,-10.99,3.72,-0.98,1.137,102
42876,-3.64,-0.19,10.07,-33.40,0.23,0.03,0.56,-11.24,5.20,-1.17,1.028,92
43090,-2.18,2.34,11.68,-20.04,-0.11,0.01,0.57,-11.11,3.47,-1.76,1.192,107
43303,-2.6,1.03,11.03,-23.91,0.14,0.23,0.2,-11.11,-1.66,1.5,1.126,101
43517,-5.67,0.31,6.35,-52.03,-0.03,-0.04,0.19,-11.36,6.68,-0.64,0.648,58
43732,-3.29,1.72,12.14,-30.23,-0.54,0.82,1.19,-11.24,5.39,-4.88,1.239,111
43947,-2.79,-0.34,10.91,-25.66,-0.19,0.32,1.08,-11.24,1.77,-0.85,1.113,100
44160,-3.87,1.88,8.27,-35.51,-0.06,0.07,1.04,-11.36,2.24,-0.99,0.844,76
44372,-3.83,1.34,8.77,-35.16,-0.2,0.09,0.86,-11.11,5.54,0.23,0.895,81
44586,-4.25,-2.87,10.68,-39.02,0.06,0.05,0.02,-11.11,0.74,3.02,1.090,98
44799,-1.38,2.41,10.57,-12.66,0.27,0.31,0.47,-11.24,5.65,-2.68,1.079,97
45014,-2.56,0.23,10.22,-23.55,-0.37,0.49,2,-10.99,-1.12,-1.1,1.043,94
45228,-2.45,-0.31,9.03,-22.5,-0.44,0.1,1.53,-11.11,6.91,-3.99,0.921,83
45441,-2.56,0.84,9.3,-23.55,-0.12,0.59,1.5,-11.11,7.22,-3.69,0.949,85
45656,-3.25,1.65,10.91,-29.88,-0.1,0.24,0.68,-11.11,1.93,-0.73,1.113,100
45869,-3.37,1.53,9.38,-30.94,-0.57,0.39,1.29,-10.87,3.63,-0.87,0.957,86
46087,-3.6,-1.34,10.14,-33.05,-0.27,-0.21,1.19,-10.87,10.24,-0.92,1.035,93
46301,-2.41,1.11,11.25,-22.15,-0.02,0.44,0.31,-11.11,3.54,-0.92,1.148,103
46515,-2.49,-1.19,7.58,-22.85,0.39,0.12,1.12,-11.11,7.33,-2.72,0.773,70
46729,-4.9,0.5,6.16,-45,-0.17,-0.25,0.98,-11.11,9.76,-4.69,0.629,57
46943,-2.79,2.87,10.68,-25.66,-0.05,0.55,1.09,-11.11,4.73,-2.11,1.090,98
47158,-2.53,-0.11,10.76,-23.2,-0.13,0.15,1.08,-11.11,5.9,-1.57,1.098,99
47372,-3.02,0.04,7.35,-27.77,-0.07,0.57,0.91,-11.36,-0.08,-0.59,0.750,68
47587,-1.95,-0.38,11.41,-17.93,-0.32,0.24,0.38,-10.99,3.8,0.04,1.164,105
47803,-2.72,-1.15,10.03,-24.96,-0.18,-0.06,1.1,-10.99,6.37,-3.33,1.023,92
48018,-3.71,0.84,10.95,-34.1,-0.14,-0.37,1.92,-11.11,9.69,-3.92,1.117,101
48230,-6.28,2.3,7.66,-57.66,0.18,0.41,0.61,-11.11,-1.8,0.51,0.782,70
48447,-8.42,5.51,5.24,-77.34,-0.06,-0.26,-0.05,-11.11,14.79,-5.72,0.535,48
48663,-4.9,12.25,7.66,-45,0.21,-1.23,2,-10.99,-44.23,-4.97,0.782,70
48874,1.19,3.14,7.04,10.9,0.48,-1.52,2,-11.11,2,19.33,0.718,65
49086,1.03,6.89,5.21,9.49,-2,-0.35,2,-11.11,21.58,-3.96,0.532,48
49302,-19.6,2.37,3.9,-180,-1.12,-1.73,2,-11.24,35.52,0.34,0.398,36
49521,-19.6,5.09,7.85,-180,-1.17,-0.78,2,-10.87,-15.35,25.59,0.801,72
49739,-11.1,-3.9,5.24,-101.95,-0.41,0.41,1.25,-11.11,-15.95,14.16,0.535,48
49957,-18.72,-0.69,12.56,-171.91,0.38,-0.89,1.5,-10.87,12.87,-7.2,1.282,115
50169,5.97,6.39,12.1,54.84,0.09,-0.47,2,-10.87,4.49,-4.57,1.235,111
50386,-11.03,3.37,-1.72,-101.25,0.67,0.48,1.64,-10.99,-5.43,-0.99,-0.176,-16
